date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-01-01,4,-4,0.0,8.7,1,1,72,02:17 PM,03:48 AM,07:22 AM,04:46 PM,-10,-5,-0,-5,27,9,47,0.0,1021,4,10,243,17
2015-01-02,5,-1,0.0,8.7,1,1,80,03:03 PM,04:47 AM,07:23 AM,04:47 PM,-4,-2,2,-2,22,29,65,0.0,1025,5,10,275,13
2015-01-03,5,-2,0.0,3.5,1,1,87,03:53 PM,05:42 AM,07:23 AM,04:48 PM,0,-0,2,-0,16,63,86,0.6,1030,5,7,78,9
2015-01-04,14,5,0.0,3.5,1,1,94,04:46 PM,06:32 AM,07:23 AM,04:48 PM,8,8,10,8,27,85,93,0.9,1012,14,7,232,17
2015-01-05,6,-4,0.0,8.7,1,1,100,05:42 PM,07:18 AM,07:23 AM,04:49 PM,-6,-5,1,-5,37,27,60,0.0,1023,6,9,291,25
2015-01-06,-4,-8,0.1,3.5,1,1,100,06:37 PM,07:58 AM,07:23 AM,04:50 PM,-11,-9,-6,-9,11,62,70,0.2,1025,-4,8,257,8
2015-01-07,-6,-13,0.0,8.7,1,1,84,07:34 PM,08:34 AM,07:23 AM,04:51 PM,-11,-15,-8,-15,31,39,76,0.0,1020,-6,10,290,21
2015-01-08,-9,-14,0.0,7.0,1,1,77,08:30 PM,09:07 AM,07:22 AM,04:52 PM,-15,-18,-11,-18,23,20,76,0.0,1030,-9,10,258,16
2015-01-09,0,-7,0.0,7.0,1,1,69,09:26 PM,09:38 AM,07:22 AM,04:53 PM,-8,-10,-4,-10,29,38,75,0.0,1020,0,10,248,17
2015-01-10,-7,-11,0.0,8.7,1,1,62,10:21 PM,10:07 AM,07:22 AM,04:54 PM,-12,-14,-8,-14,22,4,74,0.0,1033,-7,10,279,15
2015-01-11,2,-9,0.0,7.0,1,1,55,11:17 PM,10:36 AM,07:22 AM,04:55 PM,-10,-6,-3,-6,15,40,59,0.0,1037,2,10,206,9
2015-01-12,1,-1,0.0,3.5,1,1,48,No moonrise,11:05 AM,07:22 AM,04:56 PM,-1,-2,1,-2,15,82,88,4.0,1026,1,7,193,9
2015-01-13,1,-6,0.0,8.7,1,1,40,12:14 AM,11:37 AM,07:21 AM,04:57 PM,-8,-8,-3,-8,23,32,69,0.0,1033,1,10,144,17
2015-01-14,-1,-7,0.0,3.5,1,1,33,01:12 AM,12:11 PM,07:21 AM,04:59 PM,-8,-8,-3,-8,18,83,69,0.0,1028,-1,10,108,13
2015-01-15,1,-3,0.0,5.3,1,1,26,02:11 AM,12:50 PM,07:21 AM,05:00 PM,-6,-3,-1,-3,11,61,70,0.0,1020,1,10,284,8
2015-01-16,5,-4,0.0,7.0,1,1,19,03:12 AM,01:35 PM,07:20 AM,05:01 PM,-5,-4,1,-4,27,15,67,0.0,1016,5,10,282,18
2015-01-17,-1,-7,0.0,8.7,1,1,11,04:13 AM,02:26 PM,07:20 AM,05:02 PM,-14,-6,-2,-6,14,14,42,0.0,1028,-1,10,217,10
2015-01-18,3,-2,0.0,3.7,1,1,4,05:12 AM,03:25 PM,07:19 AM,05:03 PM,1,0,2,0,13,70,94,3.3,1014,3,5,186,7
2015-01-19,6,-0,0.0,8.7,1,1,0,06:07 AM,04:29 PM,07:19 AM,05:04 PM,-0,-2,2,-2,25,34,84,0.0,1012,6,9,268,15
2015-01-20,6,-1,0.0,7.0,1,1,0,06:59 AM,05:40 PM,07:18 AM,05:05 PM,-1,-0,2,-0,15,33,84,0.1,1015,6,10,289,8
